name,gpu_model,vram_mb,cuda_cores,price_per_hour_usd_cents,driver_major,driver_minor
Radeon R5 M320,Radeon R5 M320,4096,320,209,535,29
Radeon R5 M330,Radeon R5 M330,2048,320,210,535,37
Radeon R5 M335,Radeon R5 M335,2048,320,211,535,42
Radeon R5 Mobile Graphics,Radeon R5 Mobile Graphics,0,384,208,535,50
Radeon R6 M335DX,Radeon R6 M335DX,0,384,213,535,21
Radeon R6 M340DX,Radeon R6 M340DX,0,384,213,536,46
Radeon R6 Mobile Graphics,Radeon R6 Mobile Graphics,0,384,208,535,25
Radeon R7 340 OEM,Radeon R7 340 OEM,2048,384,210,535,30
Radeon R7 340 OEM,Radeon R7 340 OEM,2048,384,210,536,23
Radeon R7 350 Fake Card,Radeon R7 350 Fake Card,2048,384,212,535,50
Radeon R7 350 OEM,Radeon R7 350 OEM,2048,384,213,535,26
Radeon R7 350X OEM,Radeon R7 350X OEM,4096,384,213,535,48
Radeon R7 360,Radeon R7 360,2048,768,227,535,34
Radeon R7 360 896SP,Radeon R7 360 896SP,2048,896,232,534,45
Radeon R7 360E,Radeon R7 360E,2048,768,226,535,43
Radeon R7 370,Radeon R7 370,2048,1024,233,535,20
Radeon R7 A360,Radeon R7 A360,2048,384,214,535,48
Radeon R7 A360,Radeon R7 A360,2048,384,210,536,27
Radeon R7 M260X,Radeon R7 M260X,1024,384,209,536,32
Radeon R7 M340,Radeon R7 M340,2048,320,211,534,21
Radeon R7 M340,Radeon R7 M340,1024,384,209,535,41
Radeon R7 M350,Radeon R7 M350,4096,384,212,535,46
Radeon R7 M350 2GB,Radeon R7 M350 2GB,2048,384,210,536,35
Radeon R7 M360,Radeon R7 M360,2048,384,214,534,36
Radeon R7 M365X,Radeon R7 M365X,1024,384,210,535,29
Radeon R7 M370,Radeon R7 M370,2048,384,212,536,30
Radeon R7 M380,Radeon R7 M380,4096,640,218,535,29
Radeon R7 Mobile Graphics,Radeon R7 Mobile Graphics,0,512,211,535,41
Radeon R8 M350DX,Radeon R8 M350DX,0,384,213,535,45
Radeon R8 M365DX,Radeon R8 M365DX,0,384,214,534,28
Radeon R9 270 1024SP,Radeon R9 270 1024SP,2048,1024,232,536,20
Radeon R9 360 OEM,Radeon R9 360 OEM,2048,768,226,535,29
Radeon R9 370,Radeon R9 370,2048,1280,241,534,40
Radeon R9 370 1024SP,Radeon R9 370 1024SP,2048,1024,234,534,31
Radeon R9 370X,Radeon R9 370X,2048,1280,245,535,41
Radeon R9 380,Radeon R9 380,2048,1792,258,534,31
Radeon R9 380 OEM,Radeon R9 380 OEM,4096,1792,255,535,32
Radeon R9 380X,Radeon R9 380X,4096,2048,265,536,41
Radeon R9 390,Radeon R9 390,8192,2560,285,535,47
Radeon R9 390 X2,Radeon R9 390 X2,8192,2560,293,534,20
Radeon R9 390X,Radeon R9 390X,8192,2816,297,536,26
Radeon R9 A375,Radeon R9 A375,2048,640,220,535,43
Radeon R9 FURY,Radeon R9 FURY,4096,3584,316,535,36
Radeon R9 FURY X,Radeon R9 FURY X,4096,4096,339,534,39
Radeon R9 M270X,Radeon R9 M270X,2048,768,224,536,38
Radeon R9 M280X,Radeon R9 M280X,4096,896,228,535,24
Radeon R9 M280X,Radeon R9 M280X,2048,896,231,535,23
Radeon R9 M360,Radeon R9 M360,4096,512,215,534,32
Radeon R9 M365X,Radeon R9 M365X,4096,640,219,535,49
Radeon R9 M370X Mac Edition,Radeon R9 M370X Mac Edition,2048,640,216,534,42
Radeon R9 M375,Radeon R9 M375,2048,640,220,535,23
Radeon R9 M375X,Radeon R9 M375X,2048,640,220,534,40
Radeon R9 M380,Radeon R9 M380,4096,768,224,535,46
Radeon R9 M380 Mac Edition,Radeon R9 M380 Mac Edition,2048,768,225,535,47
Radeon R9 M385,Radeon R9 M385,4096,896,228,535,47
Radeon R9 M385X,Radeon R9 M385X,4096,896,231,535,20
Radeon R9 M390 Mac Edition,Radeon R9 M390 Mac Edition,2048,1024,232,535,24
Radeon R9 M390X,Radeon R9 M390X,4096,2048,247,535,31
Radeon R9 M395 Mac Edition,Radeon R9 M395 Mac Edition,2048,1792,252,534,49
Radeon R9 M395X,Radeon R9 M395X,8192,2048,247,534,41
Radeon R9 M395X Mac Edition,Radeon R9 M395X Mac Edition,4096,2048,263,536,39
Radeon R9 Nano,Radeon R9 Nano,4096,4096,330,535,46
FirePro S7100X,FirePro S7100X,8192,2048,248,535,20
FirePro S7150,FirePro S7150,8192,2048,261,534,44
FirePro S7150 x2,FirePro S7150 x2,8192,1792,257,535,34
FirePro S9300 X2,FirePro S9300 X2,4096,4096,330,535,41
Playstation 4 Pro GPU,Playstation 4 Pro GPU,8192,2304,268,536,32
Playstation 4 Slim GPU,Playstation 4 Slim GPU,8192,1152,230,535,26
Radeon E9260 MXM,Radeon E9260 MXM,4096,896,230,535,34
Radeon E9260 PCIe,Radeon E9260 PCIe,4096,896,235,536,46
Radeon E9550 MXM,Radeon E9550 MXM,8192,2304,290,535,31
Radeon Instinct MI6,Radeon Instinct MI6,8192,2304,291,536,43
Radeon Instinct MI8,Radeon Instinct MI8,4096,4096,330,536,33
Radeon Pro 450,Radeon Pro 450,2048,640,216,535,43
Radeon Pro 455,Radeon Pro 455,2048,768,220,535,49
Radeon Pro 460,Radeon Pro 460,4096,1024,229,535,49
Radeon Pro Duo,Radeon Pro Duo,4096,4096,334,535,39
Radeon Pro SSG,Radeon Pro SSG,4096,4096,338,535,46
Radeon Pro WX 4100,Radeon Pro WX 4100,4096,1024,239,536,23
Radeon Pro WX 5100,Radeon Pro WX 5100,8192,1792,261,535,42
Radeon Pro WX 7100,Radeon Pro WX 7100,8192,2304,291,535,22
Radeon R1E Mobile Graphics,Radeon R1E Mobile Graphics,0,64,201,536,45
Radeon R1E Mobile Graphics,Radeon R1E Mobile Graphics,0,64,201,534,27
Radeon R1E Mobile Graphics,Radeon R1E Mobile Graphics,0,64,201,536,41
Radeon R2 Mobile Graphics,Radeon R2 Mobile Graphics,0,128,202,535,34
Radeon R2E Mobile Graphics,Radeon R2E Mobile Graphics,0,128,202,535,48
Radeon R3 Mobile Graphics,Radeon R3 Mobile Graphics,0,128,202,535,49
Radeon R4 Mobile Graphics,Radeon R4 Mobile Graphics,0,192,204,535,22
Radeon R4E Mobile Graphics,Radeon R4E Mobile Graphics,0,192,203,535,43
Radeon R5 430 OEM,Radeon R5 430 OEM,2048,384,210,536,23
Radeon R5 435 OEM,Radeon R5 435 OEM,2048,320,211,535,50
Radeon R5 M420,Radeon R5 M420,4096,320,209,534,40
Radeon R5 M430,Radeon R5 M430,2048,320,211,535,28
Radeon R5 M430,Radeon R5 M430,2048,320,211,534,21
Radeon R5 M430,Radeon R5 M430,4096,320,209,536,43
Radeon R5 M435,Radeon R5 M435,2048,320,211,534,28
Radeon R5 M445,Radeon R5 M445,4096,384,211,535,33
Radeon R5 M465,Radeon R5 M465,4096,384,212,534,31
Radeon R5 Mobile Graphics,Radeon R5 Mobile Graphics,0,192,205,535,50
Radeon R5E Mobile Graphics,Radeon R5E Mobile Graphics,0,192,205,534,28
Radeon R6 M435DX,Radeon R6 M435DX,0,384,213,535,23
Radeon R6E Mobile Graphics,Radeon R6E Mobile Graphics,0,384,209,535,39
Radeon R7 350,Radeon R7 350,2048,512,213,535,40
Radeon R7 430 OEM,Radeon R7 430 OEM,2048,384,210,534,23
Radeon R7 435 OEM,Radeon R7 435 OEM,2048,320,210,535,43
Radeon R7 450 OEM,Radeon R7 450 OEM,2048,512,215,535,32
Radeon R7 M440,Radeon R7 M440,4096,320,209,536,34
Radeon R7 M445,Radeon R7 M445,4096,320,210,535,34
Radeon R7 M460,Radeon R7 M460,2048,384,213,535,41
Radeon R7 M465,Radeon R7 M465,2048,384,210,536,37
Radeon R7 M465,Radeon R7 M465,2048,384,213,534,32
Radeon R7 M465X,Radeon R7 M465X,2048,512,215,536,39
Radeon R7E Mobile Graphics,Radeon R7E Mobile Graphics,0,384,207,535,30
Radeon R8 M435DX,Radeon R8 M435DX,0,384,213,535,28
Radeon R8 M445DX,Radeon R8 M445DX,0,320,211,535,22
Radeon R9 M470,Radeon R9 M470,4096,768,224,535,38
Radeon R9 M470X,Radeon R9 M470X,4096,896,231,534,32
Radeon R9 M485X,Radeon R9 M485X,8192,2048,251,535,28
Radeon RX 455 OEM,Radeon RX 455 OEM,2048,768,227,536,37
Radeon RX 460,Radeon RX 460,2048,896,234,535,35
Radeon RX 460 Mobile,Radeon RX 460 Mobile,4096,896,233,535,35
Radeon RX 470,Radeon RX 470,4096,2048,278,534,43
Radeon RX 470 Mobile,Radeon RX 470 Mobile,8192,2048,269,536,25
Radeon RX 470D,Radeon RX 470D,4096,1792,269,535,36
Radeon RX 480,Radeon RX 480,8192,2304,293,534,26
Radeon RX 480 Mobile,Radeon RX 480 Mobile,8192,2304,278,535,31
Radeon RX 580 OEM,Radeon RX 580 OEM,8192,2304,293,536,33
Xbox One S GPU,Xbox One S GPU,8192,768,223,535,37
Radeon 520 Mobile DDR3,Radeon 520 Mobile DDR3,2048,320,211,534,42
Radeon 520 Mobile GDDR5,Radeon 520 Mobile GDDR5,2048,320,211,535,40
Radeon 520 OEM,Radeon 520 OEM,2048,320,211,534,36
Radeon 530 Mobile DDR3,Radeon 530 Mobile DDR3,2048,384,213,536,48
Radeon 530 Mobile GDDR5,Radeon 530 Mobile GDDR5,2048,384,211,535,21
Radeon 530X Mobile,Radeon 530X Mobile,2048,384,213,535,50
Radeon 535 Mobile,Radeon 535 Mobile,2048,384,212,536,28
Radeon 540,Radeon 540,1024,384,214,534,34
Radeon 550,Radeon 550,2048,512,219,534,46
Radeon E9171 MCM,Radeon E9171 MCM,4096,512,219,534,21
Radeon E9172 MXM,Radeon E9172 MXM,2048,512,219,534,29
Radeon E9173 PCIe,Radeon E9173 PCIe,2048,512,219,534,36
Radeon E9174 MXM,Radeon E9174 MXM,4096,512,219,535,23
Radeon E9175 PCIe,Radeon E9175 PCIe,4096,512,219,535,38
Radeon Instinct MI25,Radeon Instinct MI25,16384,4096,396,534,20
Radeon Pro 555,Radeon Pro 555,2048,768,221,534,25
Radeon Pro 560,Radeon Pro 560,4096,1024,230,535,29
Radeon Pro 570,Radeon Pro 570,4096,1792,264,536,22
Radeon Pro 575,Radeon Pro 575,4096,2048,272,536,34
Radeon Pro 580,Radeon Pro 580,8192,2304,289,535,21
Radeon Pro Duo Polaris,Radeon Pro Duo Polaris,16384,2304,294,535,23
Radeon Pro SSG,Radeon Pro SSG,16384,4096,395,535,36
Radeon Pro V320,Radeon Pro V320,8192,3584,370,534,44
Radeon Pro Vega 56,Radeon Pro Vega 56,8192,3584,342,534,46
Radeon Pro Vega 64,Radeon Pro Vega 64,16384,4096,376,534,43
Radeon Pro WX 2100,Radeon Pro WX 2100,2048,512,219,535,25
Radeon Pro WX 3100,Radeon Pro WX 3100,4096,512,220,535,28
Radeon Pro WX 4130 Mobile,Radeon Pro WX 4130 Mobile,2048,640,221,536,41
Radeon Pro WX 4150 Mobile,Radeon Pro WX 4150 Mobile,4096,896,230,535,38
Radeon Pro WX 4170 Mobile,Radeon Pro WX 4170 Mobile,4096,1024,239,536,38
Radeon Pro WX 7100 Mobile,Radeon Pro WX 7100 Mobile,8192,2304,291,535,44
Radeon Pro WX 7130 Mobile,Radeon Pro WX 7130 Mobile,8192,2304,291,535,31
Radeon Pro WX 8100,Radeon Pro WX 8100,8192,3584,370,536,41
Radeon Pro WX 9100,Radeon Pro WX 9100,16384,4096,394,535,29
Radeon R5 Graphics,Radeon R5 Graphics,0,384,210,535,46
Radeon R8 M535DX,Radeon R8 M535DX,0,320,209,535,36
Radeon RX 460 1024SP,Radeon RX 460 1024SP,2048,1024,239,535,29
Radeon RX 540 Mobile,Radeon RX 540 Mobile,2048,512,217,535,39
Radeon RX 550,Radeon RX 550,2048,512,219,535,36
Radeon RX 550 512SP,Radeon RX 550 512SP,2048,512,217,534,34
Radeon RX 550 640SP,Radeon RX 550 640SP,2048,640,222,535,22
Radeon RX 550 Mobile,Radeon RX 550 Mobile,2048,640,226,536,36
Radeon RX 560,Radeon RX 560,4096,1024,241,535,36
Radeon RX 560 896SP,Radeon RX 560 896SP,4096,896,233,535,50
Radeon RX 560 Mobile,Radeon RX 560 Mobile,4096,1024,239,536,50
Radeon RX 560 Mobile,Radeon RX 560 Mobile,4096,896,229,534,42
Radeon RX 560 Mobile,Radeon RX 560 Mobile,4096,896,230,535,26
Radeon RX 560D,Radeon RX 560D,4096,896,233,534,29
Radeon RX 570,Radeon RX 570,4096,2048,282,536,27
Radeon RX 570 Mobile,Radeon RX 570 Mobile,8192,2048,278,535,41
Radeon RX 580,Radeon RX 580,8192,2304,299,535,46
Radeon RX 580 Mobile,Radeon RX 580 Mobile,8192,2304,278,535,49
Radeon RX Vega 10 Mobile,Radeon RX Vega 10 Mobile,0,640,225,535,47
Radeon RX Vega 56,Radeon RX Vega 56,8192,3584,367,535,40
Radeon RX Vega 64,Radeon RX Vega 64,8192,4096,401,535,33
Radeon RX Vega 64 Limited Edition,Radeon RX Vega 64 Limited Edition,8192,4096,401,535,48
Radeon RX Vega 64 Liquid Cooling,Radeon RX Vega 64 Liquid Cooling,8192,4096,419,535,30
Radeon Vega 8 Mobile,Radeon Vega 8 Mobile,0,512,217,535,36
Radeon Vega Frontier Edition,Radeon Vega Frontier Edition,16384,4096,408,535,49
Radeon Vega Frontier Edition Watercooled,Radeon Vega Frontier Edition Watercooled,16384,4096,410,535,48
Xbox One X GPU,Xbox One X GPU,12288,2560,295,534,45
Radeon 540X Mobile,Radeon 540X Mobile,2048,512,217,536,42
Radeon 550X 640SP,Radeon 550X 640SP,4096,640,221,535,24
Radeon 550X Mobile,Radeon 550X Mobile,2048,640,222,535,30
Radeon Instinct MI50,Radeon Instinct MI50,16384,3840,413,535,22
Radeon Instinct MI60,Radeon Instinct MI60,32768,4096,434,535,39
Radeon Pro 555X,Radeon Pro 555X,4096,768,222,535,21
Radeon Pro 560X,Radeon Pro 560X,4096,1024,233,535,32
Radeon Pro V340 16 GB,Radeon Pro V340 16 GB,16384,3584,370,535,41
Radeon Pro V340 8 GB,Radeon Pro V340 8 GB,8192,3584,370,534,21
Radeon Pro Vega 16,Radeon Pro Vega 16,4096,1024,239,535,23
Radeon Pro Vega 20,Radeon Pro Vega 20,4096,1280,252,534,22
Radeon Pro WX 8200,Radeon Pro WX 8200,8192,3584,370,535,24
Radeon Pro WX Vega M GL,Radeon Pro WX Vega M GL,4096,1280,241,535,35
Radeon RX 540X Mobile,Radeon RX 540X Mobile,2048,512,219,535,50
Radeon RX 550X,Radeon RX 550X,4096,512,219,535,39
Radeon RX 550X 640SP,Radeon RX 550X 640SP,2048,640,222,534,46
Radeon RX 550X Mobile,Radeon RX 550X Mobile,2048,640,224,534,40
Radeon RX 560DX,Radeon RX 560DX,4096,896,233,535,29
Radeon RX 560X,Radeon RX 560X,4096,1024,241,535,22
Radeon RX 560X Mobile,Radeon RX 560X Mobile,4096,1024,241,535,41
Radeon RX 560X Mobile,Radeon RX 560X Mobile,4096,1024,241,535,36
Radeon RX 560X Mobile,Radeon RX 560X Mobile,2048,1024,239,535,42
Radeon RX 570X,Radeon RX 570X,8192,2048,282,534,44
Radeon RX 580 2048SP,Radeon RX 580 2048SP,4096,2048,284,535,40
Radeon RX 580G,Radeon RX 580G,8192,2304,298,536,24
Radeon RX 580X,Radeon RX 580X,8192,2304,299,535,21
Radeon RX 580X Mobile,Radeon RX 580X Mobile,8192,2304,292,535,44
Radeon RX 590,Radeon RX 590,8192,2304,313,535,49
Radeon RX Vega 11,Radeon RX Vega 11,0,704,227,535,29
Radeon RX Vega 11,Radeon RX Vega 11,0,704,227,535,27
Radeon RX Vega 11 Embedded,Radeon RX Vega 11 Embedded,0,704,227,536,30
Radeon RX Vega 56 Mobile,Radeon RX Vega 56 Mobile,8192,3584,346,534,43
Radeon RX Vega M GH,Radeon RX Vega M GH,4096,1536,258,535,42
Radeon RX Vega M GL,Radeon RX Vega M GL,4096,1280,241,535,35
Radeon Vega 11 Embedded,Radeon Vega 11 Embedded,0,704,228,534,29
Radeon Vega 3 Embedded,Radeon Vega 3 Embedded,0,192,206,534,31
Radeon Vega 3 Embedded,Radeon Vega 3 Embedded,0,192,206,536,46
Radeon Vega 3 Embedded,Radeon Vega 3 Embedded,0,192,206,535,34
Radeon Vega 3 Mobile,Radeon Vega 3 Mobile,0,192,206,535,22
Radeon Vega 6 Embedded,Radeon Vega 6 Embedded,0,384,215,534,46
Radeon Vega 6 Mobile,Radeon Vega 6 Mobile,0,384,213,535,25
Radeon Vega 8,Radeon Vega 8,0,512,217,535,25
Radeon Vega 8 Embedded,Radeon Vega 8 Embedded,0,512,217,535,20
Radeon Vega 8 Embedded,Radeon Vega 8 Embedded,0,512,217,535,30
Zhongshan Subor Z+ GPU,Zhongshan Subor Z+ GPU,8192,1536,263,535,43
Radeon 540 Mobile,Radeon 540 Mobile,2048,512,217,535,27
Radeon 540X Mobile,Radeon 540X Mobile,2048,512,218,535,42
Radeon 550X,Radeon 550X,2048,512,219,535,32
Radeon 610 Mobile,Radeon 610 Mobile,2048,320,211,536,39
Radeon 620 Mobile,Radeon 620 Mobile,2048,384,211,535,49
Radeon 625 Mobile,Radeon 625 Mobile,2048,384,213,536,26
Radeon 625 OEM,Radeon 625 OEM,2048,384,212,535,44
Radeon 630 Mobile,Radeon 630 Mobile,2048,512,219,534,41
Radeon E9390 PCIe,Radeon E9390 PCIe,8192,1792,261,536,34
Radeon E9560 PCIe,Radeon E9560 PCIe,8192,2304,290,535,45
Radeon Pro 5300M,Radeon Pro 5300M,4096,1280,251,535,39
Radeon Pro 5500M,Radeon Pro 5500M,8192,1536,270,535,41
Radeon Pro 570X,Radeon Pro 570X,4096,1792,264,535,46
Radeon Pro 575X,Radeon Pro 575X,4096,2048,272,535,32
Radeon Pro 580X,Radeon Pro 580X,8192,2304,289,535,25
Radeon Pro Vega 48,Radeon Pro Vega 48,8192,3072,314,535,42
Radeon Pro Vega 64X,Radeon Pro Vega 64X,16384,4096,391,536,30
Radeon Pro Vega II,Radeon Pro Vega II,32768,4096,428,536,44
Radeon Pro Vega II Duo,Radeon Pro Vega II Duo,32768,4096,428,535,20
Radeon Pro W5300M,Radeon Pro W5300M,4096,1280,251,536,20
Radeon Pro W5500X,Radeon Pro W5500X,8192,1536,286,535,26
Radeon Pro W5700,Radeon Pro W5700,8192,2304,338,535,38
Radeon Pro W5700X,Radeon Pro W5700X,16384,2560,365,534,38
Radeon Pro WX 3200,Radeon Pro WX 3200,4096,640,227,534,41
Radeon Pro WX 3200 Mobile,Radeon Pro WX 3200 Mobile,4096,640,222,536,49
Radeon R7 350 640SP,Radeon R7 350 640SP,2048,640,219,534,45
Radeon RX 5300 XT OEM,Radeon RX 5300 XT OEM,4096,1408,282,536,50
Radeon RX 5300M,Radeon RX 5300M,3072,1408,264,534,27
Radeon RX 5500 OEM,Radeon RX 5500 OEM,4096,1408,282,535,35
Radeon RX 5500 XT,Radeon RX 5500 XT,4096,1408,283,535,36
Radeon RX 5500M,Radeon RX 5500M,4096,1408,273,536,44
Radeon RX 560 XT,Radeon RX 560 XT,4096,1792,271,535,28
Radeon RX 560X Mobile,Radeon RX 560X Mobile,4096,896,235,535,40
Radeon RX 5700,Radeon RX 5700,8192,2304,326,535,32
Radeon RX 5700 XT,Radeon RX 5700 XT,8192,2560,355,536,29
Radeon RX 5700 XT 50th Anniversary,Radeon RX 5700 XT 50th Anniversary,8192,2560,361,535,49
Radeon RX 640 Mobile,Radeon RX 640 Mobile,2048,640,225,534,45
Radeon RX Vega 11,Radeon RX Vega 11,0,704,230,534,43
Radeon RX Vega 11 Mobile,Radeon RX Vega 11 Mobile,0,704,230,535,43
Radeon Vega 10 Mobile,Radeon Vega 10 Mobile,0,640,227,535,37
Radeon Vega 10 Mobile,Radeon Vega 10 Mobile,0,640,225,534,32
Radeon Vega 10 Mobile,Radeon Vega 10 Mobile,0,640,227,535,46
Radeon Vega 11,Radeon Vega 11,0,704,230,535,29
Radeon Vega 3,Radeon Vega 3,0,192,206,535,20
Radeon Vega 3 Embedded,Radeon Vega 3 Embedded,0,192,206,536,20
Radeon Vega 3 Embedded,Radeon Vega 3 Embedded,0,192,207,534,48
Radeon Vega 3 Mobile,Radeon Vega 3 Mobile,0,192,206,535,42
Radeon Vega 6 Mobile,Radeon Vega 6 Mobile,0,384,213,535,41
Radeon Vega 6 Mobile,Radeon Vega 6 Mobile,0,384,214,535,39
Radeon Vega 8,Radeon Vega 8,0,512,219,534,41
Radeon Vega 8 Mobile,Radeon Vega 8 Mobile,0,512,217,535,22
Radeon Vega 8 Mobile,Radeon Vega 8 Mobile,0,512,218,534,25
Radeon Vega 8 Mobile,Radeon Vega 8 Mobile,0,512,218,535,31
Radeon Vega 9 Mobile,Radeon Vega 9 Mobile,0,576,222,535,29
Radeon VII,Radeon VII,16384,3840,413,535,43
AeroBox GPU,AeroBox GPU,8192,896,229,535,30
Atari VCS 400 GPU,Atari VCS 400 GPU,4096,192,207,535,39
Atari VCS 800 GPU,Atari VCS 800 GPU,8192,192,207,535,50
Playstation 5 GPU,Playstation 5 GPU,16384,2304,362,534,44
Radeon Graphics 320SP Mobile,Radeon Graphics 320SP Mobile,0,320,213,535,28
Radeon Graphics 384SP Mobile,Radeon Graphics 384SP Mobile,0,384,217,534,24
Radeon Graphics 448SP,Radeon Graphics 448SP,0,448,226,535,22
Radeon Graphics 448SP Mobile,Radeon Graphics 448SP Mobile,0,448,221,535,37
Radeon Graphics 512SP,Radeon Graphics 512SP,0,512,233,534,47
Radeon Graphics 512SP Mobile,Radeon Graphics 512SP Mobile,0,512,227,535,45
Radeon Instinct MI100,Radeon Instinct MI100,32768,7680,561,534,33
Radeon Pro 5300,Radeon Pro 5300,4096,1280,267,535,29
Radeon Pro 5500 XT,Radeon Pro 5500 XT,8192,1536,286,535,47
Radeon Pro 5600M,Radeon Pro 5600M,8192,2560,291,535,46
Radeon Pro 5700,Radeon Pro 5700,8192,2304,298,536,26
Radeon Pro 5700 XT,Radeon Pro 5700 XT,16384,2560,321,535,30
Radeon Pro V520,Radeon Pro V520,8192,2304,318,534,47
Radeon Pro VII,Radeon Pro VII,16384,3840,406,534,41
Radeon Pro W5500,Radeon Pro W5500,8192,1408,283,534,45
Radeon Pro W5500M,Radeon Pro W5500M,4096,1408,273,536,36
Radeon RX 5300 OEM,Radeon RX 5300 OEM,3072,1408,273,535,32
Radeon RX 5600 OEM,Radeon RX 5600 OEM,6144,2048,301,536,22
Radeon RX 5600 XT,Radeon RX 5600 XT,6144,2304,314,535,48
Radeon RX 5600M,Radeon RX 5600M,6144,2304,293,535,35
Radeon RX 5700M,Radeon RX 5700M,8192,2304,326,535,40
Radeon RX 590 GME,Radeon RX 590 GME,8192,2304,304,534,45
Radeon RX 640 OEM,Radeon RX 640 OEM,4096,640,226,536,43
Radeon RX 6800,Radeon RX 6800,16384,3840,454,534,26
Radeon RX 6800 XT,Radeon RX 6800 XT,16384,4608,526,536,29
Radeon RX 6900 XT,Radeon RX 6900 XT,16384,5120,561,535,41
Radeon Vega 3 Mobile,Radeon Vega 3 Mobile,0,192,206,535,21
Xbox Series S GPU,Xbox Series S GPU,8192,1280,264,535,43
Xbox Series X GPU,Xbox Series X GPU,10240,3328,391,535,29
Radeon Graphics 384SP,Radeon Graphics 384SP,0,384,220,536,41
Radeon Graphics 384SP Mobile,Radeon Graphics 384SP Mobile,0,384,219,535,23
Radeon Graphics 448SP,Radeon Graphics 448SP,0,448,227,536,33
Radeon Graphics 448SP Mobile,Radeon Graphics 448SP Mobile,0,448,225,534,37
Radeon Graphics 448SP Mobile,Radeon Graphics 448SP Mobile,0,448,225,536,26
Radeon Graphics 512SP,Radeon Graphics 512SP,0,512,232,535,30
Radeon Graphics 512SP Mobile,Radeon Graphics 512SP Mobile,0,512,232,534,50
Radeon Graphics 512SP Mobile,Radeon Graphics 512SP Mobile,0,512,230,535,42
Radeon Instinct MI200,Radeon Instinct MI200,65536,6656,555,536,44
Radeon Instinct MI210,Radeon Instinct MI210,65536,6656,555,535,23
Radeon Instinct MI250,Radeon Instinct MI250,131072,13312,907,535,42
Radeon Instinct MI250X,Radeon Instinct MI250X,131072,14080,947,535,24
Radeon PRO V620,Radeon PRO V620,32768,4608,519,535,42
Radeon PRO W6600,Radeon PRO W6600,8192,1792,344,535,35
Radeon Pro W6600M,Radeon Pro W6600M,8192,1792,314,534,41
Radeon Pro W6600X,Radeon Pro W6600X,8192,2048,358,535,34
Radeon PRO W6800,Radeon PRO W6800,32768,3840,479,534,30
Radeon Pro W6800X,Radeon Pro W6800X,32768,3840,451,535,46
Radeon Pro W6800X Duo,Radeon Pro W6800X Duo,32768,3840,442,536,21
Radeon Pro W6900X,Radeon Pro W6900X,32768,5120,548,535,20
Radeon RX 6600,Radeon RX 6600,8192,1792,340,535,21
Radeon RX 6600 XT,Radeon RX 6600 XT,8192,2048,366,535,44
Radeon RX 6600M,Radeon RX 6600M,8192,1792,335,535,34
Radeon RX 6700,Radeon RX 6700,10240,2304,377,536,49
Radeon RX 6700 XT,Radeon RX 6700 XT,12288,2560,408,535,44
Radeon RX 6700M,Radeon RX 6700M,10240,2304,373,535,37
Radeon RX 6800M,Radeon RX 6800M,12288,2560,391,534,27
Playstation 5 GPU,Playstation 5 GPU,16384,2304,362,535,49
Radeon 610M,Radeon 610M,0,128,207,535,43
Radeon 660M,Radeon 660M,0,384,222,535,21
Radeon 680M,Radeon 680M,0,768,253,535,46
Radeon Graphics 128SP,Radeon Graphics 128SP,0,128,208,535,36
Radeon Graphics 448SP Mobile,Radeon Graphics 448SP Mobile,0,448,225,535,47
Radeon Graphics 512SP Mobile,Radeon Graphics 512SP Mobile,0,512,232,536,42
Radeon PRO W6300,Radeon PRO W6300,2048,768,248,535,49
Radeon Pro W6300M,Radeon Pro W6300M,2048,768,248,535,27
Radeon PRO W6400,Radeon PRO W6400,4096,768,256,535,44
Radeon RX 6400,Radeon RX 6400,4096,768,256,534,39
Radeon RX 6500 XT,Radeon RX 6500 XT,4096,1024,291,535,50
Radeon RX 6500M,Radeon RX 6500M,4096,1024,276,536,47
Radeon RX 6600S,Radeon RX 6600S,4096,1792,312,536,25
Radeon RX 6650 XT,Radeon RX 6650 XT,8192,2048,370,534,38
Radeon RX 6650M,Radeon RX 6650M,8192,1792,336,536,36
Radeon RX 6650M XT,Radeon RX 6650M XT,8192,2048,355,534,46
Radeon RX 6700S,Radeon RX 6700S,8192,1792,312,536,30
Radeon RX 6750 XT,Radeon RX 6750 XT,12288,2560,410,535,41
Radeon RX 6800S,Radeon RX 6800S,8192,2048,334,535,20
Radeon RX 6850M XT,Radeon RX 6850M XT,12288,2560,407,535,40
Radeon RX 6950 XT,Radeon RX 6950 XT,16384,5120,571,535,26
Radeon RX 7900 XT,Radeon RX 7900 XT,20480,5376,998,535,28
Radeon RX 7900 XTX,Radeon RX 7900 XTX,24576,6144,1151,535,36
Steam Deck GPU,Steam Deck GPU,16384,512,225,535,28
Radeon 610M,Radeon 610M,0,128,208,536,40
Radeon 660M,Radeon 660M,0,384,222,535,46
Radeon 680M,Radeon 680M,0,768,253,534,31
Radeon 740M,Radeon 740M,0,256,239,535,48
Radeon 740M,Radeon 740M,0,256,244,534,49
Radeon 760M,Radeon 760M,0,512,282,535,29
Radeon 760M,Radeon 760M,0,512,282,535,24
Radeon 780M,Radeon 780M,0,768,327,535,50
Radeon 780M,Radeon 780M,0,768,327,535,24
Radeon Instinct MI300,Radeon Instinct MI300,131072,14080,950,535,40
Radeon Instinct MI300A,Radeon Instinct MI300A,196608,19456,1474,536,29
